ENTIDAD,NOM_ENT,MUN,CVEMUN,NOM_MUN,Region_UV,NOM_LOC,LONGITUD,POBTOT,POBFEM,POBMAS,P_0A2,P_0A2_F,P_0A2_M,P_3YMAS,P_3YMAS_F,P_3YMAS_M,P_5YMAS,P_5YMAS_F,P_5YMAS_M,P_12YMAS,P_12YMAS_F,P_12YMAS_M,P_15YMAS,P_15YMAS_F,P_15YMAS_M,P_18YMAS,P_18YMAS_F,P_18YMAS_M,P_3A5,P_3A5_F,P_3A5_M,P_6A11,P_6A11_F,P_6A11_M,P_8A14,P_8A14_F,P_8A14_M,P_12A14,P_12A14_F,P_12A14_M,P_15A17,P_15A17_F,P_15A17_M,P_18A24,P_18A24_F,P_18A24_M,P_15A49_F,P_60YMAS,P_60YMAS_F,P_60YMAS_M,REL_H_M,POB0_14,POB15_64,POB65_MAS,PROM_HNV,PNACENT,PNACENT_F,PNACENT_M,PNACOE,PNACOE_F,PNACOE_M,PRES2015,PRES2015_F,PRES2015_M,PRESOE15,PRESOE15_F,PRESOE15_M,P3YM_HLI,P3YM_HLI_F,P3YM_HLI_M,P3HLINHE,P3HLINHE_F,P3HLINHE_M,P3HLI_HE,P3HLI_HE_F,P3HLI_HE_M,P5_HLI,P5_HLI_NHE,P5_HLI_HE,PHOG_IND,POB_AFRO,POB_AFRO_F,POB_AFRO_M,PCON_DISC,PCDISC_MOT,PCDISC_VIS,PCDISC_LENG,PCDISC_AUD,PCDISC_MOT2,PCDISC_MEN,PCON_LIMI,PCLIM_CSB,PCLIM_VIS,PCLIM_HACO,PCLIM_OAUD,PCLIM_MOT2,PCLIM_RE_CO,PCLIM_PMEN,PSIND_LIM,P3A5_NOA,P3A5_NOA_F,P3A5_NOA_M,P6A11_NOA,P6A11_NOAF,P6A11_NOAM,P12A14NOA,P12A14NOAF,P12A14NOAM,P15A17A,P15A17A_F,P15A17A_M,P18A24A,P18A24A_F,P18A24A_M,P8A14AN,P8A14AN_F,P8A14AN_M,P15YM_AN,P15YM_AN_F,P15YM_AN_M,P15YM_SE,P15YM_SE_F,P15YM_SE_M,P15PRI_IN,P15PRI_INF,P15PRI_INM,P15PRI_CO,P15PRI_COF,P15PRI_COM,P15SEC_IN,P15SEC_INF,P15SEC_INM,P15SEC_CO,P15SEC_COF,P15SEC_COM,P18YM_PB,P18YM_PB_F,P18YM_PB_M,GRAPROES,GRAPROES_F,GRAPROES_M,PEA,PEA_F,PEA_M,PE_INAC,PE_INAC_F,PE_INAC_M,POCUPADA,POCUPADA_F,POCUPADA_M,PDESOCUP,PDESOCUP_F,PDESOCUP_M,PSINDER,PDER_SS,PDER_IMSS,PDER_ISTE,PDER_ISTEE,PAFIL_PDOM,PDER_SEGP,PDER_IMSSB,PAFIL_IPRIV,PAFIL_OTRAI,P12YM_SOLT,P12YM_CASA,P12YM_SEPA,PCATOLICA,PRO_CRIEVA,POTRAS_REL,PSIN_RELIG,TOTHOG,HOGJEF_F,HOGJEF_M,POBHOG,PHOGJEF_F,PHOGJEF_M,VIVTOT,TVIVHAB,TVIVPAR,VIVPAR_HAB,VIVPARH_CV,TVIVPARHAB,VIVPAR_DES,VIVPAR_UT,OCUPVIVPAR,PROM_OCUP,PRO_OCUP_C,VPH_PISODT,VPH_PISOTI,VPH_1DOR,VPH_2YMASD,VPH_1CUART,VPH_2CUART,VPH_3YMASC,VPH_C_ELEC,VPH_S_ELEC,VPH_AGUADV,VPH_AEASP,VPH_AGUAFV,VPH_TINACO,VPH_CISTER,VPH_EXCSA,VPH_LETR,VPH_DRENAJ,VPH_NODREN,VPH_C_SERV,VPH_NDEAED,VPH_DSADMA,VPH_NDACMM,VPH_SNBIEN,VPH_REFRI,VPH_LAVAD,VPH_HMICRO,VPH_AUTOM,VPH_MOTO,VPH_BICI,VPH_RADIO,VPH_TV,VPH_PC,VPH_TELEF,VPH_CEL,VPH_INTER,VPH_STVP,VPH_SPMVPI,VPH_CVJ,VPH_SINRTV,VPH_SINLTC,VPH_SINCINT,VPH_SINTIC,TAMLOC
30,Veracruz de Ignacio de la Llave,1,30001,Acajete,Xlp,Total del Municipio,,9701,4781,4920,514,245,269,9187,4536,4651,8865,4383,4482,7570,3742,3828,7026,3479,3547,6449,3208,3241,526,262,264,1091,532,559,1280,629,651,544,263,281,577,271,306,1259,579,680,2567,1006,488,518,102.91,2675,6309,717,2.44,9499,4673,4826,199,107,92,8794,4346,4448,66,37,29,9,6,3,0,0,0,9,6,3,9,0,9,32,52,27,25,461,166,195,98,114,90,78,984,305,621,61,208,53,178,106,8218,231,105,126,65,31,34,76,35,41,338,159,179,285,130,155,53,28,25,805,383,422,767,362,405,1260,605,655,1341,648,693,372,172,200,1530,791,739,1580,812,768,7.25,7.4,7.11,4559,1407,3152,2986,2329,657,4467,1395,3072,92,12,80,2010,7691,1141,218,2,9,6282,6,9,48,2420,4341,809,9257,200,0,229,2630,649,1981,9701,2010,7691,3256,2630,3214,2588,2626,2630,441,185,9701,3.69,1.09,2488,138,1293,1333,207,637,1782,2570,56,2539,1186,87,1127,711,1889,697,2361,265,2274,6,1893,1886,116,1604,987,642,598,225,289,1959,2216,355,251,1861,500,598,128,70,204,709,2033,142,*
30,Veracruz de Ignacio de la Llave,2,30002,Acatlán,Xlp,Total del Municipio,,3441,1775,1666,198,96,102,3243,1679,1564,3110,1615,1495,2655,1399,1256,2477,1308,1169,2302,1218,1084,202,96,106,386,184,202,414,200,214,178,91,87,175,90,85,428,226,202,925,398,191,207,93.86,964,2192,285,2.27,3407,1758,1649,19,10,9,3075,1600,1475,24,10,14,12,4,8,0,0,0,12,4,8,12,0,12,46,157,81,76,204,78,110,26,37,34,39,569,172,350,30,106,11,141,33,2662,106,56,50,7,3,4,14,4,10,141,70,71,154,74,80,18,6,12,215,131,84,157,98,59,479,258,221,564,291,273,95,44,51,473,254,219,630,317,313,7.61,7.44,7.79,1347,406,941,1302,993,309,1301,395,906,46,11,35,963,2478,257,32,0,2,2189,2,0,3,867,1503,285,3312,49,0,80,863,202,661,3441,672,2769,1164,863,1163,862,861,863,230,71,3441,3.99,1.01,857,4,329,532,26,104,731,852,9,858,811,3,559,284,850,6,856,5,846,0,853,666,19,591,189,223,150,75,194,600,770,118,90,719,208,267,16,9,46,128,618,27,*
30,Veracruz de Ignacio de la Llave,3,30003,Acayucan,coatza-mina,Total del Municipio,,80815,42298,38517,3566,1744,1822,77237,40548,36689,74650,39266,35384,65123,34599,30524,60985,32496,28489,56754,30468,26286,3878,1902,1976,8236,4047,4189,9712,4885,4827,4138,2103,2035,4231,2028,2203,8435,4367,4068,21749,11095,5855,5240,91.06,19818,53279,7706,2.17,74775,39137,35638,5546,2952,2594,72423,38389,34034,1504,738,766,3458,1788,1670,36,24,12,3385,1760,1625,3441,36,3368,6578,934,452,482,4725,2160,2294,769,1193,788,921,8539,2778,5388,505,1902,400,1789,1107,67071,1439,714,725,373,183,190,356,177,179,3301,1564,1737,2861,1405,1456,330,138,192,6333,4060,2273,6420,3997,2423,8212,4390,3822,8044,4474,3570,1980,987,993,10792,5633,5159,23401,11935,11466,8.61,8.35,8.9,40879,17178,23701,23964,17317,6647,40218,17027,23191,661,151,510,31403,49387,19396,3973,48,531,24369,1066,268,169,20164,35395,9555,50988,17529,82,12119,23823,9180,14643,80252,28638,51614,29657,23832,28692,22867,23755,23823,5012,813,80252,3.37,1.06,22326,1426,9567,14185,3364,4483,15905,23451,301,22117,18503,1635,9905,2148,22712,561,22839,912,21292,67,22509,16117,718,19742,15145,5891,5018,3724,2111,13053,19757,4939,5591,19735,7336,8931,1503,541,2547,3375,15304,1135,*
30,Veracruz de Ignacio de la Llave,4,30004,Actopan,Ver,Total del Municipio,,41742,21132,20610,1398,693,705,40341,20437,19904,39319,19955,19364,35179,17911,17268,33351,17037,16314,31489,16113,15376,1640,771,869,3522,1755,1767,4179,2045,2134,1828,874,954,1862,924,938,4037,2023,2014,10163,7957,4002,3955,97.53,8388,27624,5727,2.25,39820,20151,19669,1590,800,790,38610,19659,18951,475,237,238,76,44,32,1,1,0,74,42,32,73,0,72,136,2641,1388,1253,2745,1473,992,459,558,554,561,5315,2098,2934,236,1006,173,1179,578,33500,563,264,299,133,58,75,181,72,109,1392,728,664,1072,560,512,151,57,94,3620,1771,1849,3228,1568,1660,7548,3792,3756,5398,2851,2547,1032,509,523,6540,3451,3089,8744,4397,4347,7.35,7.38,7.33,19843,6394,13449,15169,11473,3696,19689,6357,13332,154,37,117,9093,32640,12099,1218,11,102,19473,80,52,32,9616,20833,4727,37551,1971,7,2199,13456,3703,9753,41742,10100,31642,17854,13456,17489,13091,13427,13456,3049,1349,41742,3.1,0.8,13149,272,5414,8007,920,1789,10712,13346,75,13280,12022,141,8966,4020,13006,174,13208,213,13083,21,13105,6467,146,12215,9143,5819,4497,4499,3590,9654,12449,2516,3505,10401,4363,4297,785,487,515,2083,8363,273,*
30,Veracruz de Ignacio de la Llave,5,30005,Acula,Ver,Total del Municipio,,5253,2583,2670,196,89,107,5057,2494,2563,4901,2437,2464,4311,2146,2165,4045,2023,2022,3773,1898,1875,236,93,143,510,255,255,601,279,322,266,123,143,272,125,147,460,214,246,1199,988,508,480,103.37,1208,3337,708,2.4,5078,2476,2602,171,105,66,4786,2388,2398,103,47,56,8,4,4,0,0,0,7,4,3,8,0,7,20,56,24,32,365,173,171,61,78,82,63,858,249,574,65,146,30,199,71,4000,56,19,37,27,10,17,46,20,26,194,84,110,101,56,45,20,9,11,651,301,350,706,325,381,591,280,311,644,343,301,87,37,50,957,521,436,955,465,490,6.95,7.12,6.77,2343,700,1643,1948,1443,505,2325,697,1628,18,3,15,719,4533,1922,72,0,2,2496,4,112,71,1156,2568,587,3657,923,0,673,1704,486,1218,5253,1349,3904,2032,1704,1965,1637,1702,1704,258,70,5253,3.08,0.88,1664,38,703,999,103,330,1269,1674,28,1349,753,353,538,108,1569,10,1540,162,1262,12,1527,934,35,1456,1231,366,303,592,547,1012,1449,195,136,1417,294,720,68,25,152,262,1323,74,*
30,Veracruz de Ignacio de la Llave,6,30006,Acultzingo,cord-oriz,Total del Municipio,,23100,11922,11178,1359,676,683,21741,11246,10495,20841,10797,10044,17549,9166,8383,16168,8477,7691,14753,7771,6982,1366,692,674,2826,1388,1438,3275,1620,1655,1381,689,692,1415,706,709,3015,1550,1465,6281,2263,1220,1043,93.76,6932,14559,1609,2.41,22077,11343,10734,977,554,423,20585,10658,9927,211,123,88,3763,1926,1837,69,39,30,3689,1886,1803,3700,59,3636,6256,72,41,31,1275,513,516,228,295,222,196,2352,720,1481,177,574,103,286,210,19400,617,314,303,138,66,72,260,126,134,773,386,387,564,280,284,171,70,101,1721,999,722,1301,760,541,3012,1574,1438,3565,1819,1746,620,302,318,3457,1821,1636,3736,1955,1781,7.38,7.33,7.44,9541,3139,6402,7955,6008,1947,9247,3102,6145,294,37,257,8494,14606,3746,400,4,39,9310,947,244,14,5530,10255,1764,21129,1648,13,307,5990,1934,4056,23081,6734,16347,7284,5991,7281,5988,5982,5990,944,349,23081,3.85,1.22,5005,977,2955,3027,621,1621,3740,5901,81,4613,4145,1369,2378,907,3469,2142,4702,1280,4171,26,3571,4540,461,3430,2415,802,1302,277,652,3004,4924,556,162,4393,1025,1262,96,87,788,1548,4779,516,*
30,Veracruz de Ignacio de la Llave,7,30007,Camarón de Tejeda,Ver,Total del Municipio,,6538,3343,3195,291,135,156,6247,3208,3039,6051,3103,2948,5295,2687,2608,4965,2525,2440,4646,2362,2284,313,168,145,639,353,286,742,385,357,330,162,168,319,163,156,632,295,337,1601,1065,546,519,95.57,1573,4203,762,2.38,6380,3263,3117,119,54,65,5975,3069,2906,60,30,30,4,2,2,0,0,0,4,2,2,4,0,4,1,13,5,8,431,223,171,51,75,70,80,1054,331,666,48,185,36,169,57,5032,134,65,69,30,19,11,67,32,35,196,104,92,135,53,82,28,13,15,517,287,230,384,216,168,1386,680,706,936,506,430,176,75,101,1040,547,493,908,433,475,6.74,6.65,6.84,3011,876,2135,2259,1803,456,2981,874,2107,30,2,28,1704,4826,1688,159,12,34,2948,14,30,6,1517,3149,629,5624,644,0,263,1930,456,1474,6538,1271,5267,2267,1930,2185,1848,1929,1930,249,88,6538,3.39,0.95,1888,41,641,1288,135,306,1488,1902,27,1894,673,35,995,125,1575,103,1529,400,1504,4,1451,915,38,1590,1121,440,590,707,244,1213,1745,225,258,1530,356,168,30,16,111,335,1489,56,*
30,Veracruz de Ignacio de la Llave,8,30008,Alpatláhuac,cord-oriz,Total del Municipio,,10338,5304,5034,688,332,356,9650,4972,4678,9195,4735,4460,7616,3984,3632,6935,3645,3290,6273,3310,2963,672,342,330,1362,646,716,1623,769,854,681,339,342,662,335,327,1188,626,562,2616,1122,573,549,94.91,3403,6086,849,2.91,9875,5052,4823,420,231,189,8864,4594,4270,279,135,144,32,21,11,0,0,0,32,21,11,32,0,32,107,30,18,12,513,238,164,91,132,92,123,1021,339,588,77,248,32,242,114,8755,340,176,164,55,31,24,108,49,59,385,200,185,153,72,81,54,16,38,1207,673,534,1217,643,574,1363,685,678,1185,641,544,291,132,159,1425,762,663,1278,685,593,6.35,6.4,6.29,4606,1563,3043,2991,2417,574,4582,1560,3022,24,3,21,3680,6656,461,55,5,5,6079,71,10,12,2460,4384,772,9831,274,5,225,2513,602,1911,10335,1965,8370,3191,2514,3052,2375,2510,2513,497,180,10335,4.11,1.09,2325,185,847,1663,82,335,2093,2436,74,2203,1420,307,718,501,1263,1211,1697,813,1564,21,1212,1995,179,1152,633,320,460,99,67,1628,2026,166,251,1391,498,559,17,14,253,1020,1983,201,*
30,Veracruz de Ignacio de la Llave,9,30009,Alto Lucero de Gutiérrez Barrios,Ver,Total del Municipio,,28184,14178,14006,955,463,492,27224,13712,13512,26495,13371,13124,23486,11883,11603,22096,11192,10904,20695,10513,10182,1122,537,585,2616,1292,1324,3178,1580,1598,1390,691,699,1401,679,722,2595,1292,1303,6832,5376,2628,2748,98.79,6083,18198,3898,2.4,26982,13519,13463,999,547,452,25890,13125,12765,400,203,197,47,25,22,0,0,0,47,25,22,45,0,45,124,237,128,109,2351,1145,1055,320,553,397,417,5218,1685,3471,311,1033,146,1198,451,20501,425,203,222,80,36,44,107,47,60,1071,529,542,730,376,354,94,36,58,2990,1476,1514,2631,1268,1363,5211,2550,2661,3794,1971,1823,652,288,364,4397,2305,2092,4740,2457,2283,6.84,6.95,6.73,12751,3818,8933,10652,8052,2600,12590,3796,8794,161,22,139,4991,23183,2882,558,2,76,19748,75,34,14,6852,13751,2882,25621,1340,13,1192,8829,2415,6414,28153,6860,21293,11864,8830,11510,8476,8791,8829,2191,843,28153,3.19,0.8,8660,131,3201,5590,415,1077,7299,8748,43,8674,6734,117,6425,3893,8561,52,8653,138,8563,12,8592,5913,152,7912,5393,3357,2247,1118,950,5499,7954,1374,2443,6163,3166,2953,381,269,514,1817,5318,296,*
30,Veracruz de Ignacio de la Llave,10,30010,Altotonga,Xlp,Total del Municipio,,64234,33707,30527,3728,1863,1865,60506,31844,28662,58045,30571,27474,48135,25621,22514,43937,23505,20432,39849,21441,18408,3782,1929,1853,8589,4294,4295,9955,4983,4972,4198,2116,2082,4088,2064,2024,8018,4260,3758,17351,6456,3526,2930,90.57,20297,39314,4623,2.6,61085,31878,29207,3020,1765,1255,56857,30012,26845,1034,540,494,619,334,285,6,1,5,613,333,280,619,6,613,1934,154,80,74,2995,1279,1234,510,743,608,615,7486,2181,4740,600,1747,478,1786,627,53510,1859,950,909,387,184,203,664,308,356,2315,1242,1073,1583,870,713,331,124,207,5728,3539,2189,5021,3024,1997,8690,4429,4261,8122,4162,3960,1751,813,938,9670,5255,4415,9376,5081,4295,7.05,7.02,7.08,33404,14295,19109,14625,11270,3355,33125,14238,18887,279,57,222,17772,46452,5214,1553,64,140,36687,2994,66,51,15611,27100,5417,54993,6638,65,2499,16706,5265,11441,64229,17521,46708,21708,16708,21646,16646,16662,16706,3345,1655,64229,3.84,1.17,15184,1478,7954,8708,1416,4227,11017,16368,293,15761,6701,900,7953,3073,13374,2994,14987,1674,14326,72,13577,12237,800,9399,5694,2650,3255,1711,1267,10258,13747,2007,1770,12715,4010,4323,529,356,1733,3675,12197,1029,*
