Año,Clave_Ent,Entidad,CVEMUN,Municipio,Bien _jurídico_afectado,Tipo_de_delito,Subtipo_de_delito,Modalidad,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
2021,30,Veracruz de Ignacio de la Llave,30001,Acajete,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con arma de fuego,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30001,Acajete,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con arma blanca,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30001,Acajete,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con otro elemento,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30001,Acajete,La vida y la Integridad corporal,Homicidio,Homicidio doloso,No especificado,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30001,Acajete,La vida y la Integridad corporal,Homicidio,Homicidio culposo,Con arma de fuego,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30001,Acajete,La vida y la Integridad corporal,Homicidio,Homicidio culposo,Con arma blanca,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30001,Acajete,La vida y la Integridad corporal,Homicidio,Homicidio culposo,En accidente de tránsito,0,0,0,0,0,0,0,0,1,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30001,Acajete,La vida y la Integridad corporal,Homicidio,Homicidio culposo,Con otro elemento,0,0,0,0,0,0,0,1,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30001,Acajete,La vida y la Integridad corporal,Homicidio,Homicidio culposo,No especificado,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30001,Acajete,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,Con arma de fuego,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30001,Acajete,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,Con arma blanca,0,0,1,0,0,0,0,0,0,0,0,0
