"Entidad_federativa","Nivel_educativo","Maestros","Escuelas","ciclo"
"Aguascalientes","Preescolar",1439,531,"2000-2001"
"Aguascalientes","Primaria",4852,713,"2000-2001"
"Aguascalientes","Secundaria",3582,292,"2000-2001"
"Aguascalientes","Media superior",2203,121,"2000-2001"
"Aguascalientes","Superior",2565,42,"2000-2001"
"Baja California","Preescolar",3079,908,"2000-2001"
"Baja California","Primaria",12044,1380,"2000-2001"
"Baja California","Secundaria",7928,422,"2000-2001"
"Baja California","Media superior",4518,162,"2000-2001"
"Baja California","Superior",6366,129,"2000-2001"
"Baja California Sur","Preescolar",702,276,"2000-2001"
"Baja California Sur","Primaria",2273,392,"2000-2001"
"Baja California Sur","Secundaria",1520,112,"2000-2001"
"Baja California Sur","Media superior",1195,50,"2000-2001"
"Baja California Sur","Superior",1048,27,"2000-2001"
"Campeche","Preescolar",1259,592,"2000-2001"
"Campeche","Primaria",4162,855,"2000-2001"
"Campeche","Secundaria",2409,218,"2000-2001"
"Campeche","Media superior",1760,77,"2000-2001"
"Campeche","Superior",1498,58,"2000-2001"
"Coahuila","Preescolar",3339,1350,"2000-2001"
"Coahuila","Primaria",11945,1814,"2000-2001"
"Coahuila","Secundaria",8324,456,"2000-2001"
"Coahuila","Media superior",5828,320,"2000-2001"
"Coahuila","Superior",6164,138,"2000-2001"
"Colima","Preescolar",863,334,"2000-2001"
"Colima","Primaria",2908,517,"2000-2001"
"Colima","Secundaria",2268,148,"2000-2001"
"Colima","Media superior",1414,64,"2000-2001"
"Colima","Superior",1347,55,"2000-2001"
"Chiapas","Preescolar",9545,5896,"2000-2001"
"Chiapas","Primaria",28616,8370,"2000-2001"
"Chiapas","Secundaria",9184,1234,"2000-2001"
"Chiapas","Media superior",5943,368,"2000-2001"
"Chiapas","Superior",4220,108,"2000-2001"
"Chihuahua","Preescolar",4235,1771,"2000-2001"
"Chihuahua","Primaria",16868,3110,"2000-2001"
"Chihuahua","Secundaria",7712,641,"2000-2001"
"Chihuahua","Media superior",5430,361,"2000-2001"
"Chihuahua","Superior",5245,89,"2000-2001"
"Ciudad de México","Preescolar",12015,3267,"2000-2001"
"Ciudad de México","Primaria",38959,3419,"2000-2001"
"Ciudad de México","Secundaria",34854,1352,"2000-2001"
"Ciudad de México","Media superior",29145,638,"2000-2001"
"Ciudad de México","Superior",52366,516,"2000-2001"
"Durango","Preescolar",2631,1409,"2000-2001"
"Durango","Primaria",10504,2575,"2000-2001"
"Durango","Secundaria",5783,764,"2000-2001"
"Durango","Media superior",3706,157,"2000-2001"
"Durango","Superior",2999,71,"2000-2001"
"Guanajuato","Preescolar",8643,4018,"2000-2001"
"Guanajuato","Primaria",25827,4682,"2000-2001"
"Guanajuato","Secundaria",12520,1392,"2000-2001"
"Guanajuato","Media superior",10005,631,"2000-2001"
"Guanajuato","Superior",8254,259,"2000-2001"
"Guerrero","Preescolar",7170,3231,"2000-2001"
"Guerrero","Primaria",23572,5067,"2000-2001"
"Guerrero","Secundaria",9578,1060,"2000-2001"
"Guerrero","Media superior",6193,241,"2000-2001"
"Guerrero","Superior",3102,109,"2000-2001"
"Hidalgo","Preescolar",4454,2949,"2000-2001"
"Hidalgo","Primaria",15328,3239,"2000-2001"
"Hidalgo","Secundaria",7443,1001,"2000-2001"
"Hidalgo","Media superior",4492,213,"2000-2001"
"Hidalgo","Superior",3017,60,"2000-2001"
"Jalisco","Preescolar",8932,3415,"2000-2001"
"Jalisco","Primaria",33259,5935,"2000-2001"
"Jalisco","Secundaria",19851,1519,"2000-2001"
"Jalisco","Media superior",17688,417,"2000-2001"
"Jalisco","Superior",13964,214,"2000-2001"
"México","Preescolar",13001,5231,"2000-2001"
"México","Primaria",63144,7149,"2000-2001"
"México","Secundaria",37876,2920,"2000-2001"
"México","Media superior",23143,872,"2000-2001"
"México","Superior",19271,266,"2000-2001"
"Michoacán","Preescolar",6766,3510,"2000-2001"
"Michoacán","Primaria",27791,5867,"2000-2001"
"Michoacán","Secundaria",11293,1193,"2000-2001"
"Michoacán","Media superior",6469,254,"2000-2001"
"Michoacán","Superior",4422,96,"2000-2001"
"Morelos","Preescolar",1894,838,"2000-2001"
"Morelos","Primaria",7254,983,"2000-2001"
"Morelos","Secundaria",4531,376,"2000-2001"
"Morelos","Media superior",3448,155,"2000-2001"
"Morelos","Superior",3347,80,"2000-2001"
"Nayarit","Preescolar",1748,1030,"2000-2001"
