"MUN","NOM_MUN","NOM_LOC","AGEB","GRAPROES","PSINDER","PDER_SEGP","HOGJEF_F","PRO_OCUP_C","VPH_INTER","indice","index","calculo"
"001","Acajete","Total AGEB urbana","0028","9.04",28.5912560721721,45.8709229701596,24.4155844155844,"0.95",51.9444444444444,"medio-bajo",0.548494397219031,"ACP"
"001","Acajete","Total AGEB urbana","0032","7.29",26.4462809917355,46.0055096418733,25.9615384615385,"1.18",64.0776699029126,"bajo",0.459431856917742,"ACP"
"001","Acajete","Total AGEB urbana","0047","NA","NA","NA","NA","NA","NA","Sin datos","NA","Sin datos"
"001","Acajete","Total AGEB urbana","0051","NA","NA","NA","NA","NA","NA","Sin datos","NA","Sin datos"
"002","Acatlán","Total AGEB urbana","0025","7.73",27.6975099907777,63.449123885644,23.3496332518337,"1.01",75.1529987760098,"bajo",0.435258640047574,"ACP"
"003","Acayucan","Total AGEB urbana","0107","9.91",38.150792268849,25.1262406407801,43.4005763688761,"1.09",55.542095699576,"medio",0.598320559442285,"ACP"
"003","Acayucan","Total AGEB urbana","0126","9.16",35.1351351351351,33.1664998331665,36.375,"1.24",66.2775616083009,"medio-bajo",0.51825039987078,"ACP"
"003","Acayucan","Total AGEB urbana","0130","10.11",37.5312571038872,23.2780177313026,39.1760299625468,"1",51.953125,"medio",0.620335583288122,"ACP"
"003","Acayucan","Total AGEB urbana","0145","8.77",37.966573816156,26.7966573816156,36.3905325443787,"1.17",67.7914110429448,"medio-bajo",0.526443098828184,"ACP"
"003","Acayucan","Total AGEB urbana","015A","9.03",41.7206040992449,26.8338727076591,36.4004044489383,"1.04",50.0534759358289,"medio",0.577639794054426,"ACP"
"003","Acayucan","Total AGEB urbana","022A","8.2",44.2546583850932,28.5714285714286,54.7619047619048,"1.2",77.710843373494,"medio-bajo",0.508558593903043,"ACP"
"003","Acayucan","Total AGEB urbana","0234","5.45",53.2608695652174,0,46.1538461538462,"1.08",95.114006514658,"bajo",0.342263492653987,"MSV"
"003","Acayucan","Total AGEB urbana","0249","5.36",38.1818181818182,14.5454545454545,33.3333333333333,"1.22",100,"bajo",0.406960582754637,"ACP"
"003","Acayucan","Total AGEB urbana","0253","8.59",35.4656632173095,38.2878645343368,32.258064516129,"1.34",71.3761467889908,"bajo",0.465373869015014,"ACP"
"003","Acayucan","Total AGEB urbana","0268","7.19",20.1119925338311,71.3952403173122,34.3195266272189,"1.24",94.3204868154158,"bajo",0.366066519231808,"ACP"
