"pais","code","año","gasto_id","patentes_1","patentes_2","publicaciones","registros"
"Argenti","ARG",2000,0.43884,1062,5574,4385.98,61847
"Argenti","ARG",2001,0.42461,691,5088,4501.47,40583
"Argenti","ARG",2002,0.38886,718,4143,4811.32,42812
"Argenti","ARG",2003,0.41013,792,3765,4598.69,81216
"Argenti","ARG",2004,0.40376,786,3816,4702.95,76431
"Argenti","ARG",2005,0.42074,1054,4215,4964.45,79018
"Argenti","ARG",2006,0.45216,1020,4597,5587.62,77711
"Argenti","ARG",2007,0.46007,937,4806,5684.67,71559
"Argenti","ARG",2008,0.47055,801,4781,6270.29,89629
"Argenti","ARG",2009,0.58398,640,4336,6897.38,83683
"Argenti","ARG",2010,0.56104,552,4165,7236.62,88428
"Argenti","ARG",2011,0.56597,688,4133,7733.75,77494
"Argenti","ARG",2012,0.63491,735,4078,7842.75,60170
"Argenti","ARG",2013,0.61849,643,4129,7994.13,55295
"Argenti","ARG",2014,0.59396,509,4173,8464.74,58486
"Argenti","ARG",2015,0.62262,546,3579,8370.01,66278
"Argenti","ARG",2016,0.55815,884,2925,8593.36,71058
"Argenti","ARG",2017,0.54152,393,3050,8704.3,74722
"Argenti","ARG",2018,,425,3242,8811.13,71712
"Armenia","ARM",2000,0.19106,119,8,346.29,2886
"Armenia","ARM",2001,0.27987,140,15,305.85,2843
"Armenia","ARM",2002,0.25255,200,7,315.85,2328
"Armenia","ARM",2003,0.32109,151,6,317.38,2841
"Armenia","ARM",2004,0.25659,,,343.09,4169
"Armenia","ARM",2005,0.25761,206,2,388.1,3566
"Armenia","ARM",2006,0.24057,192,1,349.34,3800
"Armenia","ARM",2007,0.21107,135,5,391.91,4422
"Armenia","ARM",2008,0.22438,226,4,374.22,4191
"Armenia","ARM",2009,0.29093,116,11,433.78,3951
"Armenia","ARM",2010,0.24139,136,6,487.46,4308
"Armenia","ARM",2011,0.27014,121,19,586.85,4378
"Armenia","ARM",2012,0.23853,137,4,548.17,4513
"Armenia","ARM",2013,0.22216,125,6,539.92,4537
"Armenia","ARM",2014,0.24151,121,2,544.54,4506
"Armenia","ARM",2015,0.25002,113,2,531.24,4361
"Armenia","ARM",2016,0.23305,125,1,530.82,4015
"Armenia","ARM",2017,0.22788,107,3,511.24,4538
"Armenia","ARM",2018,0.18913,101,4,521.33,4707
"Austria","AUT",2000,1.88602,1961,340,6577.35,20665
"Austria","AUT",2001,1.9921,1815,284,7034.68,19086
"Austria","AUT",2002,2.06598,1932,329,7475.58,16962
"Austria","AUT",2003,2.17456,2120,213,7823.88,17076
"Austria","AUT",2004,2.16612,2248,266,8080.18,16617
"Austria","AUT",2005,2.37324,2270,235,8908.29,15267
"Austria","AUT",2006,2.35923,2271,378,9109.26,14619
"Austria","AUT",2007,2.41843,2385,287,9902.9,14142
"Austria","AUT",2008,2.56945,2298,329,10329.47,13335
"Austria","AUT",2009,2.59674,2263,292,10893.44,11251
"Austria","AUT",2010,2.7261,2424,249,11108.33,10162
"Austria","AUT",2011,2.66868,2154,276,11767.52,9367
"Austria","AUT",2012,2.91472,2258,294,12201.72,9482
"Austria","AUT",2013,2.95492,2162,244,12404.51,8959
"Austria","AUT",2014,3.08429,2092,271,12660.94,8718
"Austria","AUT",2015,3.04979,2205,236,12911.21,8126
"Austria","AUT",2016,3.12588,2078,237,12792.84,8188
"Austria","AUT",2017,3.05212,2073,232,12850.61,8195
"Austria","AUT",2018,3.17177,2039,168,12362.28,8626
"Azerbaijan","AZE",2000,0.336,,,154.76,
"Azerbaijan","AZE",2001,0.34001,203,10,159.12,4427
"Azerbaijan","AZE",2002,0.30155,234,7,245.05,2378
"Azerbaijan","AZE",2003,0.32496,246,18,273.2,2797
"Azerbaijan","AZE",2004,0.29831,270,7,350.2,3496
"Azerbaijan","AZE",2005,0.21994,281,6,348.53,4202
"Azerbaijan","AZE",2006,0.17165,246,13,279.11,4762
"Azerbaijan","AZE",2007,0.17006,287,8,414.86,4586
"Azerbaijan","AZE",2008,0.16554,226,7,477.39,5839
"Azerbaijan","AZE",2009,0.24976,264,17,624.91,4357
"Azerbaijan","AZE",2010,0.21848,254,17,595.22,4412
"Azerbaijan","AZE",2011,0.21084,193,12,638.11,5106
"Azerbaijan","AZE",2012,0.21427,144,,679.27,5225
"Azerbaijan","AZE",2013,0.20969,156,,470.64,5719
"Azerbaijan","AZE",2014,0.20978,168,,395.23,5301
"Azerbaijan","AZE",2015,0.22232,184,,451.68,4952
"Azerbaijan","AZE",2016,0.20637,144,19,593.56,4702
"Azerbaijan","AZE",2017,0.18468,204,22,736.71,4924
"Azerbaijan","AZE",2018,0.18484,155,16,761.43,4993
"Belarus","BLR",2000,0.7221,994,204,1170.05,5847
"Belarus","BLR",2001,0.70876,930,214,1260.38,6311
"Belarus","BLR",2002,0.6209,895,379,1264.88,6080
"Belarus","BLR",2003,0.61147,1082,298,1233.93,6916
"Belarus","BLR",2004,0.62759,1065,200,1225.92,7997
"Belarus","BLR",2005,0.67852,1166,296,1302.2,8175
"Belarus","BLR",2006,0.66065,1188,337,1163.43,9249
"Belarus","BLR",2007,0.96203,1405,257,1300.93,10742
"Belarus","BLR",2008,0.74147,1510,220,1048.25,10417
"Belarus","BLR",2009,0.62167,1753,173,1167.91,9310
"Belarus","BLR",2010,0.65268,1759,174,1061.94,10346
"Belarus","BLR",2011,0.6776,1725,146,1097.17,10379
"Belarus","BLR",2012,0.64603,1681,190,1032.04,11092
"Belarus","BLR",2013,0.65191,1489,145,1099.19,11061
"Belarus","BLR",2014,0.50548,652,105,1056.66,8314
"Belarus","BLR",2015,0.49999,543,148,976.31,7415
"Belarus","BLR",2016,0.50063,455,66,1008.55,7232
"Belarus","BLR",2017,0.58411,434,90,1064.9,7591
"Belarus","BLR",2018,0.60817,453,94,1179.81,7801
"Belgium","BEL",2000,1.92236,577,243,9723.01,37104
"Belgium","BEL",2001,2.02168,571,264,10101.71,33673
"Belgium","BEL",2002,1.89073,601,147,10402.85,31505
"Belgium","BEL",2003,1.83184,519,188,10918.31,32016
"Belgium","BEL",2004,1.80898,514,122,11585.74,31124
"Belgium","BEL",2005,1.78231,517,105,12776.16,37444
"Belgium","BEL",2006,1.81426,490,161,13023.65,33313
"Belgium","BEL",2007,1.84413,454,163,13798.7,30322
"Belgium","BEL",2008,1.92413,575,133,14434.37,28538
"Belgium","BEL",2009,1.98537,669,148,14951.67,25166
"Belgium","BEL",2010,2.05081,620,140,15211.5,25671
"Belgium","BEL",2011,2.15533,636,127,15806.72,25758
"Belgium","BEL",2012,2.27334,755,127,16548.11,24460
"Belgium","BEL",2013,2.33393,715,161,16779.18,23753
"Belgium","BEL",2014,2.38729,889,137,17143.34,23127
"Belgium","BEL",2015,2.46123,949,148,16724.04,24618
"Belgium","BEL",2016,2.55595,1054,119,16763.94,24336
"Belgium","BEL",2017,2.70234,1001,216,16278.27,24416
"Belgium","BEL",2018,2.82119,892,218,15688.13,23559
"Bosnia and Herzegovi","BIH",2000,,31,242,74.59,4111
"Bosnia and Herzegovi","BIH",2001,,52,309,66.14,4039
"Bosnia and Herzegovi","BIH",2002,,,,108.91,
"Bosnia and Herzegovi","BIH",2003,0.01854,32,242,151.74,4091
"Bosnia and Herzegovi","BIH",2004,0.01524,50,346,199.34,4153
"Bosnia and Herzegovi","BIH",2005,0.02697,66,306,250.03,4360
"Bosnia and Herzegovi","BIH",2006,0.01969,55,162,285.9,4498
"Bosnia and Herzegovi","BIH",2007,0.02521,,,312.53,4852
"Bosnia and Herzegovi","BIH",2008,0.01842,59,12,396.82,4914
"Bosnia and Herzegovi","BIH",2009,0.02106,,,443.34,
"Bosnia and Herzegovi","BIH",2010,,56,9,482.17,4243
"Bosnia and Herzegovi","BIH",2011,,43,12,539.74,4071
"Bosnia and Herzegovi","BIH",2012,0.26533,2,14,540.99,3817
"Bosnia and Herzegovi","BIH",2013,0.32132,7,22,486,3932
"Bosnia and Herzegovi","BIH",2014,0.25725,41,2,482.98,3775
"Bosnia and Herzegovi","BIH",2015,0.2186,,,568.22,3737
"Bosnia and Herzegovi","BIH",2016,0.21594,60,6,568.38,3801
"Bosnia and Herzegovi","BIH",2017,0.20048,87,12,724.8,3671
"Bosnia and Herzegovi","BIH",2018,0.1988,84,12,703.79,3778
